file,config_path,out_log,provider_id,rpc_url,chain_id,scenario,interval_s,duration_s,repeat_id,total,ok,err,ok_rate,avg_latency_ms,median_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,has_address_ratio,unique_method_count,top_error,top_error_count
logs/providerA_ethmainnet_nonce_int1_rep3.jsonl,configs/mainnet\A_nonce_int1_rep3.yaml,logs/providerA_ethmainnet_nonce_int1_rep3.jsonl,providerA,https://ethereum-rpc.publicnode.com,1,nonce,1.0,120,3,168,168,0,1.0,220.375,213.5,222.0,204,633,1.0,1,,0
logs/providerA_ethmainnet_nonce_int5_rep1.jsonl,configs/mainnet\A_nonce_int5_rep1.yaml,logs/providerA_ethmainnet_nonce_int5_rep1.jsonl,providerA,https://ethereum-rpc.publicnode.com,1,nonce,5.0,120,1,46,46,0,1.0,217.97826086956522,206.5,221.0,197,623,1.0,1,,0
logs/providerA_ethmainnet_nonce_int5_rep2.jsonl,configs/mainnet\A_nonce_int5_rep2.yaml,logs/providerA_ethmainnet_nonce_int5_rep2.jsonl,providerA,https://ethereum-rpc.publicnode.com,1,nonce,5.0,120,2,46,46,0,1.0,221.2608695652174,210.0,235.0,201,589,1.0,1,,0
logs/providerA_ethmainnet_nonce_int5_rep3.jsonl,configs/mainnet\A_nonce_int5_rep3.yaml,logs/providerA_ethmainnet_nonce_int5_rep3.jsonl,providerA,https://ethereum-rpc.publicnode.com,1,nonce,5.0,120,3,46,46,0,1.0,218.0,207.0,217.0,201,665,1.0,1,,0
logs/providerB_ethmainnet_balance_int1_rep1.jsonl,configs/mainnet\B_balance_int1_rep1.yaml,logs/providerB_ethmainnet_balance_int1_rep1.jsonl,providerB,https://eth-mainnet.g.alchemy.com/v2/_nJ0_fXdxbxYz7KATWLfL,1,balance,1.0,120,1,222,222,0,1.0,43.549549549549546,40.0,50.0,38,562,1.0,1,,0
logs/providerB_ethmainnet_balance_int1_rep2.jsonl,configs/mainnet\B_balance_int1_rep2.yaml,logs/providerB_ethmainnet_balance_int1_rep2.jsonl,providerB,https://eth-mainnet.g.alchemy.com/v2/_nJ0_fXdxbxYz7KATWLfL,1,balance,1.0,120,2,220,220,0,1.0,44.08181818181818,41.0,45.0,39,494,1.0,1,,0
logs/providerB_ethmainnet_balance_int1_rep3.jsonl,configs/mainnet\B_balance_int1_rep3.yaml,logs/providerB_ethmainnet_balance_int1_rep3.jsonl,providerB,https://eth-mainnet.g.alchemy.com/v2/_nJ0_fXdxbxYz7KATWLfL,1,balance,1.0,120,3,222,222,0,1.0,41.95495495495496,39.0,43.0,38,481,1.0,1,,0
logs/providerB_ethmainnet_balance_int5_rep1.jsonl,configs/mainnet\B_balance_int5_rep1.yaml,logs/providerB_ethmainnet_balance_int5_rep1.jsonl,providerB,https://eth-mainnet.g.alchemy.com/v2/_nJ0_fXdxbxYz7KATWLfL,1,balance,5.0,120,1,48,48,0,1.0,49.916666666666664,41.0,47.0,38,458,1.0,1,,0
logs/providerB_ethmainnet_balance_int5_rep2.jsonl,configs/mainnet\B_balance_int5_rep2.yaml,logs/providerB_ethmainnet_balance_int5_rep2.jsonl,providerB,https://eth-mainnet.g.alchemy.com/v2/_nJ0_fXdxbxYz7KATWLfL,1,balance,5.0,120,2,48,48,0,1.0,50.270833333333336,40.0,44.0,39,497,1.0,1,,0
logs/providerB_ethmainnet_balance_int5_rep3.jsonl,configs/mainnet\B_balance_int5_rep3.yaml,logs/providerB_ethmainnet_balance_int5_rep3.jsonl,providerB,https://eth-mainnet.g.alchemy.com/v2/_nJ0_fXdxbxYz7KATWLfL,1,balance,5.0,120,3,48,48,0,1.0,53.208333333333336,42.0,47.0,40,538,1.0,1,,0
